[Fri Sep 22 20:51:02.173 2017] 0.017 sec [any/0/rel 0 (0,20)] [*] 网络搜索
[Fri Sep 22 21:05:05.886 2017] 0.003 sec [any/0/rel 0 (0,20)] [mysql] 测试
[Fri Sep 22 21:05:37.906 2017] 0.001 sec [any/0/rel 1 (0,20)] [mysql] 3
[Fri Sep 22 21:05:53.335 2017] 0.002 sec [any/0/rel 1 (0,20)] [mysql] 消防
[Fri Sep 22 21:07:50.427 2017] 0.003 sec [any/0/rel 1 (0,20)] [mysql] 调查
[Fri Sep 22 21:08:08.526 2017] 0.002 sec [any/0/rel 1 (0,20)] [mysql] 现场调查
[Fri Sep 22 21:11:19.251 2017] 0.004 sec [all/0/rel 1 (0,30)] [mysql] [--single-0-query--] 调查
[Fri Sep 22 21:12:08.957 2017] 0.002 sec [all/0/rel 1 (0,30)] [mysql] [--single-0-query--] 调查
[Fri Sep 22 21:13:25.428 2017] 0.003 sec [all/0/rel 1 (0,30)] [mysql] [--single-0-query--] 调查
[Fri Sep 22 21:16:21.126 2017] 0.002 sec [all/0/rel 1 (0,30)] [mysql] [--single-0-query--] 调查
[Fri Sep 22 21:18:37.832 2017] 0.003 sec [all/0/rel 1 (0,30)] [mysql] [--single-0-query--] 调查
[Fri Sep 22 21:22:37.667 2017] 0.002 sec [all/0/rel 1 (0,30)] [*] [--single-0-query--] 调查
[Fri Sep 22 21:22:55.602 2017] 0.001 sec [all/0/rel 1 (0,30)] [*] [--single-0-query--] 调查
[Fri Sep 22 21:27:29.968 2017] 0.003 sec [all/0/attr- 1 (0,30)] [*] [--single-0-query--] 调查
[Fri Sep 22 21:28:30.226 2017] 0.002 sec [all/0/attr- 0 (0,30)] [*] [--single-0-query--] 为了
[Fri Sep 22 21:28:45.772 2017] 0.002 sec [all/0/attr- 2 (0,30)] [*] [--single-0-query--] 为了
[Fri Sep 22 21:29:51.083 2017] 0.003 sec [all/0/attr- 2 (0,30)] [*] [--single-0-query--] 为了
[Fri Sep 22 21:32:19.567 2017] 0.002 sec [all/0/attr- 2 (0,30)] [*] [--single-0-query--] 为了
[Fri Sep 22 21:33:44.973 2017] 0.002 sec [all/0/attr- 2 (0,30)] [*] [--single-0-query--] 为了
